player,total,inside,outside,playmaking,athleticism,defending,rebounding
Josh Green,72,63,72,58,85,69,62
Matisse Thybulle,76,62,66,57,74,85,38
Saddiq Bey,72,57,76,55,64,67,46
Brandon Clarke,80,73,77,55,73,71,71
Precious Achiuwa,74,57,52,42,78,75,77
Enes Kanter,78,78,68,46,68,54,86
LaMarcus Aldridge,83,86,83,46,70,71,70
James Johnson,76,69,65,70,72,67,58
Paul Millsap,80,75,76,55,71,72,65
Ed Davis,73,61,46,36,68,62,79
Andre Iguodala,77,65,66,70,74,79,60
Carmelo Anthony,79,77,77,62,75,60,57
Trevor Ariza,76,57,73,58,73,72,55
Avery Bradley,74,67,79,66,77,76,41
Wayne Ellington,72,63,73,64,69,54,46
Dwight Howard,79,69,62,34,75,72,85
Udonis Haslem,71,65,61,32,61,64,70
Markieff Morris,75,72,73,43,68,65,58
E'Twaun Moore,73,69,70,66,71,58,46
Grant Williams,71,65,67,55,67,67,53
Tyrese Maxey,72,67,72,72,77,71,44
Darius Bazley,72,57,72,49,64,59,64
Trey Lyles,76,67,79,47,63,59,73
Zeke Nnaji,71,71,67,35,76,62,72
Ty Jerome,70,59,71,75,69,67,48
Austin Rivers,74,69,69,71,79,71,47
Kent Bazemore,75,54,67,60,74,65,55
Andre Drummond,85,75,50,54,78,80,91
Hassan Whiteside,84,78,61,41,71,77,90
Solomon Hill,72,61,68,59,62,58,49
Otto Porter,78,71,75,62,67,66,51
Victor Oladipo,82,71,78,74,79,81,51
Ben McLemore,76,58,75,59,70,59,41
Tony Snell,74,58,81,59,65,65,37
Cody Zeller,78,73,67,51,70,62,78
Jabari Parker,79,80,61,58,77,64,66
Willy Hernangomez,76,69,68,41,61,60,83
Nassir Little,72,60,68,49,73,67,56
RJ Hampton,72,70,67,74,88,67,60
Rodney Hood,78,65,82,60,63,61,44
Elfrid Payton,76,66,65,83,76,74,57
Dylan Windler,73,53,74,60,67,63,63
Immanuel Quickley,71,62,78,62,81,65,41
John Konchar,72,61,74,65,64,60,64
Jordan Poole,73,62,68,67,72,64,41
Bol Bol,73,70,75,50,61,68,73
Keldon Johnson,75,64,73,59,73,61,59
Payton Pritchard,70,62,78,73,75,59,40
Nemanja Bjelica,78,67,76,62,62,55,66
Frank Kaminsky,75,78,69,49,62,56,69
Raul Neto,73,58,78,72,70,68,41
Udoka Azubuike,71,54,34,30,79,72,75
Jaden McDaniels,72,63,75,54,74,60,55
Malachi Flynn,71,59,76,73,73,68,38
Desmond Bane,70,67,77,70,66,63,49
Jordan McLaughlin,74,66,74,78,72,62,39
Kenrich Williams,70,54,57,54,64,61,63
Theo Maledon,70,65,75,76,76,55,42
Abdel Nader,73,57,73,49,69,57,46
Damian Jones,74,65,63,35,73,68,66
Denzel Valentine,76,59,79,66,63,54,54
Timothe Luwawu,75,53,71,59,73,66,47
Rodney McGruder,72,55,66,56,65,68,53
PJ Dozier,72,62,70,68,80,66,47
Damion Lee,74,71,74,61,67,63,55
Shake Milton,77,70,79,72,75,61,45
Jalen Brunson,78,75,79,82,78,64,47
Mitchell Robinson,80,65,57,43,61,79,79
Tony Bradley,76,69,55,39,63,63,85
Frank Ntilikina,74,55,76,75,76,73,43
Malik Monk,75,72,74,70,77,64,51
Semi Ojeleye,72,64,67,50,78,56,48
Dennis Smith,72,62,56,77,82,67,50
Didi Louzada,0,0,0,0,0,0,0
Kevin Porter,75,59,70,72,76,63,55
Jalen McDaniels,71,64,67,49,62,60,65
Terance Mann,73,59,70,69,68,59,45
Jaylen Nowell,71,60,72,67,76,58,40
Naz Reid,72,62,70,52,68,68,70
Isaiah Roby,70,57,68,44,63,60,56
Daniel Gafford,74,71,56,42,71,69,59
Bruno Fernando,73,62,61,49,78,65,72
Nicolas Claxton,73,67,64,45,70,65,66
Cody Martin,71,56,65,63,61,61,57
Dean Wade,70,62,66,42,61,57,61
Vlatko Cancar,71,56,73,55,61,54,61
KZ Okpala,72,60,66,57,71,62,52
Luguentz Dort,72,63,64,54,77,71,39
Miye Oni,71,62,69,60,77,64,56
Eric Paschall,79,70,83,60,72,60,54
Drew Eubanks,69,68,57,37,67,59,70
Chimezie Metu,0,0,0,0,0,0,0
Yuta Watanabe,0,0,0,0,0,0,0
Alize Johnson,0,0,0,0,0,0,0
Thanasis Antetokounmpo,69,54,61,52,70,54,43
Keita Bates-Diop,0,0,0,0,0,0,0
Sviatoslav Mykhailiuk,73,49,76,60,73,52,40
Brad Wanamaker,74,63,77,73,76,54,42
Isaiah Hartenstein,73,66,71,46,64,60,79
Moritz Wagner,76,72,77,46,73,57,75
Isaac Bonga,73,65,69,59,64,58,57
Moses Brown,0,0,0,0,0,0,0
Juan Toscano-Anderson,71,53,68,61,67,62,59
Oshae Brissett,0,0,0,0,0,0,0
Kelan Martin,70,58,68,53,59,54,59
Javonte Green,74,55,68,55,69,64,58
Max Strus,0,0,0,0,0,0,0
Gabe Vincent,0,0,0,0,0,0,0
DeAndre Bembry,74,75,57,66,68,68,55
Matt Thomas,74,62,82,54,64,54,50
Gary Payton II,0,0,0,0,0,0,0
Wayne Selden,0,0,0,0,0,0,0
Vernon Carey,70,67,69,43,71,63,76
Nick Richards,69,56,57,36,71,68,70
Lamar Stevens,0,0,0,0,0,0,0
KJ Martin,0,0,0,0,0,0,0
Xavier Tillman,70,58,63,59,64,73,72
Naji Marshall,68,64,66,65,66,59,56
Isaiah Joe,0,0,0,0,0,0,0
Paul Reed,0,0,0,0,0,0,0
Robert Woodard,70,57,71,50,79,62,55
Tre Jones,70,56,71,77,75,75,49
Jae'Sean Tate,69,68,68,55,70,67,68
Sam Merrill,67,57,78,67,63,59,44
Jordan Nwora,69,60,76,46,57,55,65
CJ Elleby,68,55,71,51,69,60,52
Jahmi'us Ramsey,69,59,71,66,66,67,55
Elijah Hughes,70,67,74,59,76,63,48
Anthony Gill,69,66,73,42,64,59,57
Saben Lee,0,0,0,0,0,0,0
Armoni Brooks,0,0,0,0,0,0,0
Skylar Mays,0,0,0,0,0,0,0
Brodric Thomas,0,0,0,0,0,0,0
Tyler Cook,0,0,0,0,0,0,0
Devon Dotson,0,0,0,0,0,0,0
Tacko Fall,0,0,0,0,0,0,0
Markus Howard,0,0,0,0,0,0,0
Chris Chiozza,0,0,0,0,0,0,0
Garrison Mathews,0,0,0,0,0,0,0
Amir Coffey,70,51,66,66,70,56,43
Jay Scrubb,0,0,0,0,0,0,0
Killian Tillie,0,0,0,0,0,0,0
Caleb Martin,70,62,71,52,57,59,48
Justin Robinson,0,0,0,0,0,0,0
Nathan Knight,0,0,0,0,0,0,0
Paul Watson,69,61,70,55,67,58,62
Ignas Brazdeikis,71,53,73,59,63,57,57
Grant Riller,69,66,74,73,86,58,38
Keljin Blevins,68,57,69,59,74,66,55
Louis King,0,0,0,0,0,0,0
Devontae Cacok,0,0,0,0,0,0,0
Malik Fitts,0,0,0,0,0,0,0
Trent Forrest,0,0,0,0,0,0,0
Cassius Winston,0,0,0,0,0,0,0
Mychal Mulder,0,0,0,0,0,0,0
